"V1" "V2"
"" 10 10
"theta_cur" 2.26652392541924 4.74715564054007
"theta_cur" 2.84755646669336 6.67312617326161
"theta_cur" 4.47419755349968 4.42007337136725
"theta_cur" 1.43746718125032 4.97990438567947
"theta_cur" 3.7690744381723 5.17032475880533
"theta_cur" 3.22624179790101 4.25793964144601
"theta_cur" 3.84728272845571 6.6285863565979
"theta_cur" 3.16986448050072 5.18530182419241
"theta_cur" 3.07420332889944 5.15414058361675
"theta_cur" 1.92835546892525 7.70552869772848
"theta_cur" 3.94198245579514 7.16476966712325
"theta_cur" 3.57533549648867 8.64930165707959
"theta_cur" 2.57828360758332 8.9614661038065
"theta_cur" 3.79347351744134 2.61698600004015
"theta_cur" 2.22893639922971 2.97429375064352
"theta_cur" 4.41485022001493 3.8224463024786
"theta_cur" 2.63962541933525 5.15647557636259
"theta_cur" 3.48193755072458 8.92449014868682
"theta_cur" 3.54641158686016 6.50131827800668
"theta_cur" 4.24602490388028 7.86509687216901
"theta_cur" 3.46074579623964 7.87261875933426
"theta_cur" 3.68167974286323 5.28674343227418
"theta_cur" 3.94978906390896 6.85883422271996
"theta_cur" 3.60277296622073 6.45616380550491
"theta_cur" 3.83460230528402 4.91517247536499
"theta_cur" 3.06621726927653 3.84264710991984
"theta_cur" 3.82628468294497 6.80806144364719
"theta_cur" 4.31167126501105 6.94834122981369
"theta_cur" 3.49572481560679 3.15103109789143
"theta_cur" 2.27948431687992 4.31627149651242
"theta_cur" 2.42332726314211 5.09417892913584
"theta_cur" 2.06329730478011 6.02204291232369
"theta_cur" 2.74444205097489 4.33702286121602
"theta_cur" 3.53839227068666 6.21683796837313
"theta_cur" 4.62018293423941 2.63995156529613
"theta_cur" 1.69376115038674 4.01119656172865
"theta_cur" 4.87312909623682 3.75633331583768
"theta_cur" 2.37963750800076 4.64736801341525
"theta_cur" 2.22093543625133 4.76449448160667
"theta_cur" 3.42771494720396 6.20634565858563
"theta_cur" 3.16541628913278 5.87559517897443
"theta_cur" 3.66948634985144 9.20756769664514
"theta_cur" 3.86500373610101 6.01256855292024
"theta_cur" 2.50998568955915 5.53571644779689
"theta_cur" 2.8690580230556 4.9783188641222
"theta_cur" 3.86434453526626 6.24674431812488
"theta_cur" 3.97647554900522 5.4012787655173
"theta_cur" 3.97817384593243 5.85435128204777
"theta_cur" 4.55704364919159 6.20899583889929
"theta_cur" 2.9851281989647 8.30867271256003
"theta_cur" 4.34895566949749 4.11004892016237
"theta_cur" 1.94246202319441 5.71058319932287
"theta_cur" 3.49638348401253 7.25108456786829
"theta_cur" 4.32707490372602 10.2071722469908
"theta_cur" 3.34546919089235 5.87954702605333
"theta_cur" 3.63108113366832 4.76976010545415
"theta_cur" 2.41263093303185 5.38579619456675
"theta_cur" 3.63246131796796 9.24371616157787
"theta_cur" 4.06462508007158 4.59130398777061
"theta_cur" 4.19054929986917 6.51833435485353
"theta_cur" 3.53391870919199 3.82451185505813
"theta_cur" 2.21009731581871 4.71762443958971
"theta_cur" 3.94701638500277 3.90482210292582
"theta_cur" 1.38871366870222 5.70675294301979
"theta_cur" 2.95546201248315 7.73879837455674
"theta_cur" 4.51244888559821 6.44404243767303
"theta_cur" 3.58569051945951 8.01783672282384
"theta_cur" 3.00332136106991 6.35666188443561
"theta_cur" 4.10956887122457 5.63910733199522
"theta_cur" 2.94798009135844 5.30682540076316
"theta_cur" 3.99184188401532 9.92070360179208
"theta_cur" 4.58196590287382 5.08811410870382
"theta_cur" 2.72440930790396 6.16764342285867
"theta_cur" 3.53234547565541 7.75975673761583
"theta_cur" 3.40663762972286 6.03754377420714
"theta_cur" 3.12019643245235 7.52515880781583
"theta_cur" 3.82066247485744 5.17764662867324
"theta_cur" 1.45539481955893 5.11896336369891
"theta_cur" 2.39511487267858 6.3681781821649
"theta_cur" 3.82699888796452 4.82110747478305
"theta_cur" 3.77758047809638 7.19848077880946
"theta_cur" 3.22569628430593 4.06806755591537
"theta_cur" 2.15896565340545 7.36547712061207
"theta_cur" 3.15596136294372 7.79633330565175
"theta_cur" 4.39144106763342 6.74797954375438
"theta_cur" 2.84537984419647 4.621040559836
"theta_cur" 2.96879361170919 5.92691753842402
"theta_cur" 3.64916901615128 7.15794157239157
"theta_cur" 3.89469137937342 6.53675068422484
"theta_cur" 3.38578543623554 6.73175100153092
"theta_cur" 3.10292662944519 6.72369549246923
"theta_cur" 3.89724494199374 6.86088838315195
"theta_cur" 3.06555133953651 6.55883003543867
"theta_cur" 4.59323127853945 6.94763517849784
"theta_cur" 4.0196134457748 4.39949340998938
"theta_cur" 3.04082347277112 5.82558379919183
"theta_cur" 4.24981924827458 5.79606081383458
"theta_cur" 3.59188653115165 6.53298335287813
"theta_cur" 3.97785105484978 8.7224601339314
"theta_cur" 3.46768927058421 5.30511479172844
"theta_cur" 4.01412923170717 3.00025759235091
"theta_cur" 1.79891295635619 4.81929796503785
"theta_cur" 2.09935587351411 4.81722103305068
"theta_cur" 1.17653881673103 5.26779415047758
"theta_cur" 4.17927482509044 5.29722023706976
"theta_cur" 4.11418341851403 6.91991569913883
"theta_cur" 4.00087376214686 5.72406647689654
"theta_cur" 3.81240942734828 4.86368098905749
"theta_cur" 2.39236625243134 5.47774673132656
"theta_cur" 2.94257876298725 7.1402358940012
"theta_cur" 3.10060029749183 3.81589006485531
"theta_cur" 1.65727739778608 5.47633312254102
"theta_cur" 3.43036968651391 7.59979612506121
"theta_cur" 3.72764683246964 7.89750142855736
"theta_cur" 3.03925658782227 5.982639444817
"theta_cur" 3.41492119837988 6.41483370347097
"theta_cur" 3.12648270951739 8.65518430688292
"theta_cur" 2.96944322007917 5.50602210557307
"theta_cur" 2.97977569660767 5.71667365146908
"theta_cur" 3.83818072723425 5.85260709436866
"theta_cur" 4.772796882016 5.18872454136698
"theta_cur" 3.22025550583924 5.63653195776897
"theta_cur" 4.13979913547691 5.41126354814859
"theta_cur" 2.7580777668841 4.76996314868002
"theta_cur" 3.57368901632386 6.57491276262191
"theta_cur" 4.02784232351569 8.38095230920371
"theta_cur" 3.58335031051776 5.58169026679108
"theta_cur" 4.07842839607231 5.86882212975531
"theta_cur" 3.89891369117846 6.85944870704844
"theta_cur" 3.52218541998259 7.89831022573947
"theta_cur" 3.13282649849459 6.29604005492079
"theta_cur" 3.34244609160556 4.47200171696278
"theta_cur" 3.73149829818105 5.6299352321676
"theta_cur" 2.93993405852299 6.90387462362164
"theta_cur" 3.10608943870999 4.41043073595076
"theta_cur" 2.32886853983774 6.53361833630459
"theta_cur" 1.87427740811487 6.09170893679825
"theta_cur" 4.04318307187577 2.90622520239536
"theta_cur" 3.47939917248757 4.76712336357241
"theta_cur" 2.5903996096423 5.96205787128634
"theta_cur" 2.53462449382342 5.64226585240122
"theta_cur" 2.47481940372436 5.92902575698812
"theta_cur" 3.3464997769847 7.53621644255394
"theta_cur" 3.6951787610036 5.87512237415135
"theta_cur" 3.53545492393174 5.04464154153077
"theta_cur" 3.85923745926128 12.0159227821892
"theta_cur" 2.84164879423116 4.1927744614285
"theta_cur" 3.42262378318176 5.95311416918041
"theta_cur" 4.07127190191918 7.59168971545456
"theta_cur" 3.39726351179866 6.20778946239901
"theta_cur" 3.8303164472755 5.84668292106029
"theta_cur" 3.48445379617162 6.76088013413884
"theta_cur" 3.68340911662515 6.78102348865333
"theta_cur" 3.89835158642327 4.38840903448118
"theta_cur" 2.1968323244772 6.002606538468
"theta_cur" 3.21567915928512 7.23718680152023
"theta_cur" 3.17660237034644 8.28453903570854
"theta_cur" 3.92117175190235 9.34233676921292
"theta_cur" 3.41617055177162 5.90776490619019
"theta_cur" 3.25712622389906 6.71995947659785
"theta_cur" 3.65797572867931 3.38341393589019
"theta_cur" 2.71048667156092 6.47972632057271
"theta_cur" 3.81539609565137 5.30121777618048
"theta_cur" 3.62498560884277 4.40800972003977
"theta_cur" 4.12077093829619 7.4423708628173
"theta_cur" 2.88994401029638 6.85642024424388
"theta_cur" 4.23586737546735 6.97291635371829
"theta_cur" 3.28416873860332 6.30367190119179
"theta_cur" 3.44434004704351 6.37277350563188
"theta_cur" 3.52127939827016 3.35921660571567
"theta_cur" 1.60644826819853 4.02704643625827
"theta_cur" 3.00685274600549 7.09442239042642
"theta_cur" 3.71759121915224 6.45632960044678
"theta_cur" 4.29154982357166 5.06012419844625
"theta_cur" 1.77770823785063 3.92445949198311
"theta_cur" 2.81862957635705 5.49595101009803
"theta_cur" 3.39305731335507 5.13766464536115
"theta_cur" 3.43959589080939 5.00889956897021
"theta_cur" 2.55220320503137 5.34270348797048
"theta_cur" 3.51712603740715 6.19656203886177
"theta_cur" 2.4574279679206 4.82444240252161
"theta_cur" 2.94509243165873 5.36785986574281
"theta_cur" 3.85252624998181 6.62148091761131
"theta_cur" 2.84288965915493 4.49580820440327
"theta_cur" 3.05816565329415 4.11424294630202
"theta_cur" 1.81375294905136 6.22084278157737
"theta_cur" 2.97773733090531 5.53317325488833
"theta_cur" 4.25873691951995 7.35935178485468
